segment_variable,segment_value,treatment_group,segment_customers,segment_share,control_n,treatment_n,conversion_rate_lift,conversion_p_value,spend_per_customer_lift,spend_p_value,incremental_revenue_per_100k_segment_customers,incremental_revenue_per_100k_total_customers_if_targeted,segment_label
customer_status,New customer,Mens E-Mail,32144,0.50225,10695,10686,0.007396000429446,3.096636280730536e-10,0.96001984192921,2.812421631419596e-07,96001.984192921,48216.99656089458,Customer Status = New customer
channel,Web,Mens E-Mail,28217,0.440890625,9373,9490,0.0071997825289486,2.927565085908413e-07,0.8504486670398359,0.0002363217709986,85044.86670398359,37495.484434161015,Channel = Web
customer_status,New customer,Womens E-Mail,32144,0.50225,10695,10763,0.0052722916983482,1.2454107165549289e-06,0.7322877956561398,1.4663264622056562e-05,73228.77956561398,36779.154536829614,Customer Status = New customer
recency_band,0-3 months,Mens E-Mail,22393,0.349890625,7438,7469,0.0073263834875286,6.401420463264529e-05,1.047598062490867,0.0004343429092003,104759.8062490867,36654.47408337185,Recency Band = 0-3 months
zip_code_clean,Suburban,Mens E-Mail,28776,0.449625,9625,9501,0.0074327323029564,3.0109490012364404e-08,0.8038481020589765,0.000460324145111,80384.81020589765,36143.02028882673,Zip Code Clean = Suburban
product_affinity,Prior Mens only,Mens E-Mail,28818,0.45028125,9638,9558,0.0060096176287617,5.7023444119952416e-06,0.682735312299813,0.0021282218010223,68273.5312299813,30742.29098415002,Product Affinity = Prior Mens only
zip_code_clean,Urban,Mens E-Mail,25661,0.400953125,8542,8563,0.0066427647844191,3.956111962910569e-06,0.7365068185112378,0.0006946326294116,73650.68185112378,29530.471046588864,Zip Code Clean = Urban
customer_status,Returning customer,Mens E-Mail,31856,0.49775,10611,10621,0.0062068281427259,1.2510598620840696e-05,0.5779669050857943,0.0094404244957218,57796.69050857943,28768.30270064541,Customer Status = Returning customer
product_affinity,Prior Womens only,Womens E-Mail,28734,0.44896875,9519,9647,0.0051146581589267,5.244316578201236e-05,0.6316479517709466,0.000234979433103,63164.79517709466,28359.019134666218,Product Affinity = Prior Womens only
product_affinity,Prior Womens only,Mens E-Mail,28734,0.44896875,9519,9568,0.0057219656796247,9.31260364533948e-06,0.6157308065834535,0.0004891358520919,61573.08065834535,27644.38905682649,Product Affinity = Prior Womens only
zip_code_clean,Urban,Womens E-Mail,25661,0.400953125,8542,8556,0.0036139936768724,0.005926552614843,0.669135334806898,0.0018360443199288,66913.5334806898,26829.190353874703,Zip Code Clean = Urban
channel,Phone,Mens E-Mail,28021,0.437828125,9327,9240,0.0054617302928657,3.2281887528462505e-05,0.5640743919691333,0.0060773132325903,56407.439196913336,24696.763339636072,Channel = Phone
history_segment,1) $0 - $100,Womens E-Mail,22970,0.35890625,7612,7634,0.0037866799123483,0.002678436336216,0.6258197999215559,0.0050785968359421,62581.97999215559,22461.06375655959,History Segment = 1) $0 - $100
history_segment,1) $0 - $100,Mens E-Mail,22970,0.35890625,7612,7724,0.0049882398339126,0.0001558946190236,0.5382830109889453,0.0131496987881248,53828.30109889453,19319.313691275114,History Segment = 1) $0 - $100
product_affinity,Prior Mens and Womens,Mens E-Mail,6448,0.10075,2149,2181,0.0149941252011694,0.0001272317985752,1.824986420861755,0.0074028465682648,182498.6420861755,18386.738190182183,Product Affinity = Prior Mens and Womens
